mission_identifier,startDate,endDate,institution,role,firstName,lastName
Biosatellite II,09/07/1967,09/09/1967,Rice University,Co-Investigator,Edger,Altenburg
Biosatellite II,09/07/1967,09/09/1967,Rice University,Principal Investigator,Loulin,Browning
Biosatellite II,09/07/1967,09/09/1967,"University of California, Berkeley",Co-Investigator,B.,Buckhold
Biosatellite II,09/07/1967,09/09/1967,General Electric Company,Co-Investigator,J.,Bushnay
Biosatellite II,09/07/1967,09/09/1967,Ecological Systems Corporation,Principal Investigator,Herbert,Conrad
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),Co-Investigator,Robert,Corbett
Biosatellite II,09/07/1967,09/09/1967,Argonne National Laboratory,Co-Investigator,E.,Daniels
Biosatellite II,09/07/1967,09/09/1967,Oak Ridge National Laboratory,Principal Investigator,Frederick,de Serres
Biosatellite II,09/07/1967,09/09/1967,"University of California, Berkeley",Co-Investigator,W.,Ebersold
Biosatellite II,09/07/1967,09/09/1967,General Electric Company,Principal Investigator,Dwayne,Eckberg
Biosatellite II,09/07/1967,09/09/1967,Emory University,Co-Investigator,Betty,Edwards
Biosatellite II,09/07/1967,09/09/1967,"University of California, Berkeley",Co-Investigator,F.,Eiserling
Biosatellite II,09/07/1967,09/09/1967,Emory University,Principal Investigator,Stephen,Gray
Biosatellite II,09/07/1967,09/09/1967,North Carolina State University,Co-Investigator,Daniel,Grosch
Biosatellite II,09/07/1967,09/09/1967,Colorado State University,Co-Investigator,D.,Haack
Biosatellite II,09/07/1967,09/09/1967,North American Aviation Inc.,Co-Investigator,S.,Johnson
Biosatellite II,09/07/1967,09/09/1967,N.U.S. Corporation,Co-Investigator,E.,Keller
Biosatellite II,09/07/1967,09/09/1967,Dartmouth College,Principal Investigator,Charles,Lyon
Biosatellite II,09/07/1967,09/09/1967,Brookhaven National Laboratory,Co-Investigator,K.,Marimuthu
Biosatellite II,09/07/1967,09/09/1967,N.U.S. Corporation,Principal Investigator,R.,Mattoni
Biosatellite II,09/07/1967,09/09/1967,Bowling Green State University,Principal Investigator,Irvin,Oster
Biosatellite II,09/07/1967,09/09/1967,Colorado State University,Principal Investigator,Richard,Price
Biosatellite II,09/07/1967,09/09/1967,National Aeronautics and Space Administration (NASA),Program Manager,Orr,Reynolds
Biosatellite II,09/07/1967,09/09/1967,"University of California, Berkeley",Co-Investigator,W.,Romig
Biosatellite II,09/07/1967,09/09/1967,National Aeronautics and Space Administration (NASA),Program Scientist,Joseph,Saunders
Biosatellite II,09/07/1967,09/09/1967,Brookhaven National Laboratory,Co-Investigator,L.,Schairer
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),Co-Investigator,Paul,Sebesta
Biosatellite II,09/07/1967,09/09/1967,Brookhaven National Laboratory,Co-Investigator,L.,Shairer
Biosatellite II,09/07/1967,09/09/1967,General Electric Company,Co-Investigator,E.,Silver
Biosatellite II,09/07/1967,09/09/1967,Columbia University,Co-Investigator,I.,Silver
Biosatellite II,09/07/1967,09/09/1967,"University of California, Berkeley",Principal Investigator,J.,Slater
Biosatellite II,09/07/1967,09/09/1967,Oak Ridge National Laboratory,Co-Investigator,Roger,Smith
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),Co-Investigator,Kenneth,Souza
Biosatellite II,09/07/1967,09/09/1967,Brookhaven National Laboratory,Principal Investigator,Arnold,Sparrow
Biosatellite II,09/07/1967,09/09/1967,University of Frankfurt,Co-Investigator,C.,Thomas
Biosatellite II,09/07/1967,09/09/1967,"University of Wisconsin, Madison",Co-Investigator,T.,Tibbitts
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),Co-Investigator,John,Tremor
Biosatellite II,09/07/1967,09/09/1967,Oak Ridge National Laboratory,Principal Investigator,R.,von Borstel
Biosatellite II,09/07/1967,09/09/1967,Oak Ridge National Laboratory,Co-Investigator,B.,Webber
Biosatellite II,09/07/1967,09/09/1967,Oak Ridge National Laboratory,Co-Investigator,A.,Whiting
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),Co-Investigator,Richard,Willoughby
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),ARC Project Manager,Charles,Wilson
Biosatellite II,09/07/1967,09/09/1967,"University of California, Berkeley",Co-Investigator,T.,Yang
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),Principal Investigator,Richard,Young
Biosatellite II,09/07/1967,09/09/1967,North American Aviation Inc.,Principal Investigator,S.,Johnson
Biosatellite II,09/07/1967,09/09/1967,NASA Ames Research Center (ARC),ARC Project Scientist,Charles,Winget
Biosatellite II,09/07/1967,09/09/1967,Southwestern University,Co-Investigator,R.,Amy
