mission_identifier,startDate,endDate,institution,role,firstName,lastName
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Principal Investigator,W.,Adey
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,J.,Berkhout
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,E.,Buchness
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,R.,Durham
Biosatellite III,06/28/1969,07/06/1969,"University of California, Berkeley",Co-Investigator,B.,Grunbaum
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,P.,Hahn
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,J.,Hanley
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,T.,Hoshizaki
Biosatellite III,06/28/1969,07/06/1969,"University of California, Berkeley",Co-Investigator,D.,Kiepert
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,E.,Kram
Biosatellite III,06/28/1969,07/06/1969,Texas Woman's University,Principal Investigator,P.,Mack
Biosatellite III,06/28/1969,07/06/1969,University of Southern California,Principal Investigator,J.,Meehan
Biosatellite III,06/28/1969,07/06/1969,"University of California, Berkeley",Principal Investigator,Nello,Pace
Biosatellite III,06/28/1969,07/06/1969,University of Southern California,Co-Investigator,R.,Rader
Biosatellite III,06/28/1969,07/06/1969,"University of California, Berkeley",Co-Investigator,D.,Rahlmann
Biosatellite III,06/28/1969,07/06/1969,National Aeronautics and Space Administration (NASA),Program Manager,Orr,Reynolds
Biosatellite III,06/28/1969,07/06/1969,NASA Jet Propulsion Laboratory,Co-Investigator,J.,Rho
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,L.,Rovner
Biosatellite III,06/28/1969,07/06/1969,National Aeronautics and Space Administration (NASA),Program Scientist,Joseph,Saunders
Biosatellite III,06/28/1969,07/06/1969,"University of California, Berkeley",Co-Investigator,G.,Smith
Biosatellite III,06/28/1969,07/06/1969,NASA Jet Propulsion Laboratory,Co-Investigator,E.,Spaeth
Biosatellite III,06/28/1969,07/06/1969,"University of California, Los Angeles",Co-Investigator,D.,Walter
Biosatellite III,06/28/1969,07/06/1969,NASA Ames Research Center (ARC),ARC Project Manager,Charles,Wilson
Biosatellite III,06/28/1969,07/06/1969,NASA Ames Research Center (ARC),ARC Project Scientist,Charles,Winget
