mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),Co-Investigator,Elwood,Agasid
Cosmos 1667,07/10/1985,07/17/1985,Institute of Biomedical Problems (IBMP),Co-Investigator,E.,Bazunova
Cosmos 1667,07/10/1985,07/17/1985,Institute of Biomedical Problems (IBMP),Co-Investigator,A.,Belgorodsky
Cosmos 1667,07/10/1985,07/17/1985,NASA Headquarters (HQ),Program Manager,Larry,Chambers
Cosmos 1667,07/10/1985,07/17/1985,Institute of Biomedical Problems (IBMP),Co-Investigator,Y.,Estratov
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),ARC Project Manager,Edward,Gomersall
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),Co-Investigator,John,Hines
Cosmos 1667,07/10/1985,07/17/1985,Institute of Biomedical Problems (IBMP),Co-Investigator,Vladimir,Krotov
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),Co-Investigator,R.,MacKenzie
Cosmos 1667,07/10/1985,07/17/1985,Institute of Biomedical Problems (IBMP),Co-Investigator,A.,Nazin
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),Co-Investigator,Robert,Osaki
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),Principal Investigator,Harold,Sandler
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),Co-Investigator,Michael,Skidmore
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),ARC Project Scientist,Harold,Sandler
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),ARC Project Engineer,John,Hines
Cosmos 1667,07/10/1985,07/17/1985,NASA Ames Research Center (ARC),ARC Payload Manager,Elwood,Agasid
