mission_identifier,startDate,endDate,institution,role,firstName,lastName
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Principal Investigator,Sara,Arnaud
Cosmos 1887,09/29/1987,10/11/1987,"University of California, Irvine",Principal Investigator,Kenneth,Baldwin
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),ARC Project Scientist,Rodney,Ballard
Cosmos 1887,09/29/1987,10/11/1987,"University of California, San Francisco",Principal Investigator,Eugene,Benton
Cosmos 1887,09/29/1987,10/11/1987,University of Pennsylvania,Co-Investigator,D.,Berretta
Cosmos 1887,09/29/1987,10/11/1987,"University of Texas, Houston",Principal Investigator,Frank,Booth
Cosmos 1887,09/29/1987,10/11/1987,"University College, London",Co-Investigator,A.,Boyde
Cosmos 1887,09/29/1987,10/11/1987,The London Hospital Medical College,Co-Investigator,T.,Bromage
Cosmos 1887,09/29/1987,10/11/1987,"University of California, San Francisco",Principal Investigator,Christopher,Cann
Cosmos 1887,09/29/1987,10/11/1987,"Washington University, St. Louis",Co-Investigator,J.,Carter
Cosmos 1887,09/29/1987,10/11/1987,NASA Headquarters (HQ),Program Manager,Larry,Chambers
Cosmos 1887,09/29/1987,10/11/1987,"Washington University, St. Louis",Co-Investigator,M.,Chi
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),ARC Project Manager,James,Connolly
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,Fernando,D'Amelio
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Principal Investigator,Nancy,Daunton
Cosmos 1887,09/29/1987,10/11/1987,Hospital for Special Surgery,Principal Investigator,Stephen,Doty
Cosmos 1887,09/29/1987,10/11/1987,Institute of Biomedical Problems (IBMP),Co-Investigator,V.,Dudkin
Cosmos 1887,09/29/1987,10/11/1987,Institute of Biomedical Problems (IBMP),Co-Investigator,G.,Durnova
Cosmos 1887,09/29/1987,10/11/1987,"University of California, Los Angeles",Principal Investigator,V.,Edgerton
Cosmos 1887,09/29/1987,10/11/1987,London Hospital Medical College,Co-Investigator,J.,Elliott
Cosmos 1887,09/29/1987,10/11/1987,San Jose State University,Co-Investigator,Stanley,Ellis
Cosmos 1887,09/29/1987,10/11/1987,NASA Ames Research Center (ARC),Co-Investigator,Juli,Evans
Cosmos 1887,09/29/1987,10/11/1987,University of Louisville,Co-Investigator,R.,Fell
Cosmos 1887,09/29/1987,10/11/1987,"University of California, San Francisco",Co-Investigator,A.,Frank
Cosmos 1887,09/29/1987,10/11/1987,Institute of Human Morphology,Co-Investigator,Boris,Fuchs
