mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Sheli,Jones
STS-42,01/22/1992,01/30/1992,University of Texas,Principal Investigator,Pauline,Duke
STS-42,01/22/1992,01/30/1992,International Center for Genetic Engineering and Biotechnology,Principal Investigator,Carlo,Bruschi
STS-42,01/22/1992,01/30/1992,University City Science Center,Principal Investigator,David,Heathcote
STS-42,01/22/1992,01/30/1992,University of Pennsylvania,Principal Investigator,Allan,Brown
STS-42,01/22/1992,01/30/1992,Lawrence Berkeley Laboratory,Co-Investigator,Michael,Esposito
STS-42,01/22/1992,01/30/1992,NASA Jet Propulsion Laboratory,Principal Investigator,Gregory,Nelson
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Payload Manager,Joellen,Jarvi
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Deputy Payload Manager,Richard,McKenna
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Payload Scientist,Charles,Winget
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Deputy Payload Scientist,Ronald,Schaefer
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Michael,Gough
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Louis,Ostrach
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Payload Engineer,Michael,Brownlee
STS-42,01/22/1992,01/30/1992,University of Trondheim,Co-Investigator,Anders,Johnsson
STS-42,01/22/1992,01/30/1992,Texas Christian University,Co-Investigator,Philip,Hartman
STS-42,01/22/1992,01/30/1992,NASA Jet Propulsion Laboratory,Co-Investigator,Wayne,Schubert
STS-42,01/22/1992,01/30/1992,University City Science Center,Co-Investigator,David,Heathcote
STS-42,01/22/1992,01/30/1992,University of Pennsylvania,Co-Investigator,Allan,Brown
STS-42,01/22/1992,01/30/1992,University of Pennsylvania,Co-Investigator,David,Chapman
STS-42,01/22/1992,01/30/1992,NASA Ames Research Center (ARC),ARC Experiment Support Scientist,Ronald,Schaefer
