mission_identifier,startDate,endDate,institution,role,firstName,lastName
STS-54,01/13/1993,01/19/1993,"University of California, Irvine",Principal Investigator,Kenneth,Baldwin
STS-54,01/13/1993,01/19/1993,NASA Ames Research Center (ARC),ARC Payload Manager,Randall,Berthold
STS-54,01/13/1993,01/19/1993,"University of California, San Francisco",Principal Investigator,Daniel,Bikle
STS-54,01/13/1993,01/19/1993,"University of California, Irvine",Co-Investigator,Vince,Caiozzo
STS-54,01/13/1993,01/19/1993,University of Tennessee,Principal Investigator,D.,Desiderio
STS-54,01/13/1993,01/19/1993,"Houghten Pharmaceuticals, Inc.",Principal Investigator,Beverly,Girten
STS-54,01/13/1993,01/19/1993,VA Medical Center,Co-Investigator,Bernard,Halloran
STS-54,01/13/1993,01/19/1993,,Co-Investigator,Jonathan,Harris
STS-54,01/13/1993,01/19/1993,NASA Ames Research Center (ARC),ARC Deputy Payload Scientist,Philip,Lane
STS-54,01/13/1993,01/19/1993,NASA Ames Research Center (ARC),ARC Deputy Payload Manager,Robert,Lavond
STS-54,01/13/1993,01/19/1993,"Houghten Pharmaceuticals, Inc.",Co-Investigator,Mona,Lee
STS-54,01/13/1993,01/19/1993,NASA Ames Research Center (ARC),ARC Payload Scientist,Dana,Leonard
STS-54,01/13/1993,01/19/1993,University of Louisville,Principal Investigator,Edwin,Miller
STS-54,01/13/1993,01/19/1993,Canadian Space Agency,Principal Investigator,Alan,Mortimer
STS-54,01/13/1993,01/19/1993,"Houghten Pharmaceuticals, Inc.",Co-Investigator,Ronald,Tuttle
STS-54,01/13/1993,01/19/1993,NASA Ames Research Center (ARC),Co-Investigator,Emily,Morey- Holton
STS-54,01/13/1993,01/19/1993,Naval Hospital Laboratory,Principal Investigator,Dennis,Rowley
